Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/325-Emelia-Dr-Morganton-GA-30560/244415061_zpid/,420434,Single Family,545000,12/16/2025,2452,sqft,222.27,1.35,acres,2,3,325 Emelia Dr,Morganton,30560,GA,USA
https://www.zillow.com/homedetails/119-Cops-Rd-Blue-Ridge-GA-30513/96831179_zpid/,418772,Single Family,580000,12/15/2025,2940,sqft,197.28,2.2,acres,4,4,119 Cops Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/0-Autumn-Ridge-Dr-LOT-10-LOT-11-Mineral-Bluff-GA-30559/458472416_zpid/,10647540,Lot/Land,97000,12/15/2025,,,,1.36,acres,,,0 Autumn Ridge Dr LOT 10 & LOT 11,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/63-Hawk-Trl-Ellijay-GA-30540/105268918_zpid/,419819,Single Family,373000,12/12/2025,1440,sqft,259.03,3.3,acres,3,2,63 Hawk Trl,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/0-Blazing-Star-Rd-Ellijay-GA-30540/449354009_zpid/,414514,Lot/Land,40000,12/12/2025,,,,1.36,acres,,,0 Blazing Star Rd,Ellijay,30540,GA,USA
https://www.zillow.com/homedetails/306-Pig-Trl-Cherry-Log-GA-30522/450127824_zpid/,418236,Single Family,586050,12/12/2025,2546,sqft,230.18,3.55,acres,6,3,306 Pig Trl,Cherry Log,30522,GA,USA
https://www.zillow.com/homedetails/0-Horizon-Rdg-Blue-Ridge-GA-30513/457716762_zpid/,10631887,Lot/Land,101000,12/12/2025,,,,1,acres,,,0 Horizon Rdg,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/197-Smith-Hill-Rd-Blue-Ridge-GA-30513/105258736_zpid/,418723,Single Family,425600,12/10/2025,1780,sqft,239.1,1.7,acres,2,2,197 Smith Hill Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/197-Smith-Hill-Rd-139-140-Blue-Ridge-GA-30513/442252380_zpid/,10602975,Single Family,425600,12/10/2025,1780,sqft,239.1,1.7,acres,2,2,197 Smith Hill Rd #139-140,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/556-Flat-Creek-Cir-Blue-Ridge-GA-30513/96829305_zpid/,10567527,Single Family,560000,12/09/2025,2688,sqft,208.33,1.25,acres,3,3,556 Flat Creek Cir,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/611-Hemptown-Heights-Dr-Morganton-GA-30560/228801609_zpid/,415095,Single Family,559000,12/09/2025,2340,sqft,238.89,1.7,acres,2,3,611 Hemptown Heights Dr,Morganton,30560,GA,USA
https://www.zillow.com/homedetails/LOT-44-Synacia-Dr-Mineral-Bluff-GA-30559/455937241_zpid/,7637923,Lot/Land,70000,12/09/2025,,,,3.4,acres,0,0,LOT 44 Synacia Dr,Mineral Bluff,30559,GA,USA
https://www.zillow.com/homedetails/911-Tipton-Rd-Blue-Ridge-GA-30513/96834014_zpid/,418324,Single Family,262000,12/08/2025,1632,sqft,160.54,0.89,acres,2,2,911 Tipton Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/41-Little-Falls-Dr-Mineral-Bluff-GA-30559/96830855_zpid/,411983,Single Family,260000,12/05/2025,,,,0.93,acres,2,2,41 Little Falls Dr,Mineral Bluff,30559,GA,USA
